sampledate,year,daynum,stratFlag,thermocline,layer,temp,o2,tp,doc
1995-05-09,1995,129,FALSE,NA,all,7.705701958683354,13.100946428564528,85.12520631552798,NA
1995-05-23,1995,143,TRUE,12.025286680097592,all,12.663463276797984,9.19999228030081,NA,NA
1995-05-23,1995,143,TRUE,12.025286680097592,epi,13.406199295882443,9.334731363845094,83.63209857645798,NA
1995-05-23,1995,143,TRUE,12.025286680097592,hypo,10.679712353863469,8.840121781942866,NA,NA
1995-06-06,1995,157,TRUE,8.10565998318678,all,14.5134542574952,8.166738249682858,102.2909012200562,NA
1995-06-06,1995,157,TRUE,8.10565998318678,epi,16.690862944162436,9.803743654822336,75.53050972927242,NA
1995-06-06,1995,157,TRUE,8.10565998318678,hypo,12.09173234257127,6.346054843416532,132.05390663194694,NA
1995-06-21,1995,172,TRUE,5.433602162417956,all,17.72517870104441,8.020967996976248,NA,NA
1995-06-21,1995,172,TRUE,5.433602162417956,epi,24.113343949044587,14.4978025477707,44.40907643312102,NA
1995-06-21,1995,172,TRUE,5.433602162417956,hypo,14.289869537336521,4.537975898246582,NA,NA
1995-07-06,1995,187,TRUE,12.729749760031694,all,18.703756989297002,5.731405215303457,99.96641806563123,NA
1995-07-06,1995,187,TRUE,12.729749760031694,epi,21.09164243073626,7.688550436246747,42.430851063829785,NA
1995-07-06,1995,187,TRUE,12.729749760031694,hypo,12.326026777483532,0.5041258877855695,253.63640472128768,NA
1995-07-18,1995,199,TRUE,9.855509159880636,all,19.649573794077277,4.587272112309887,NA,NA
1995-07-18,1995,199,TRUE,9.855509159880636,epi,24.46029129934841,7.535415868148716,29.193848217707934,NA
1995-07-18,1995,199,TRUE,9.855509159880636,hypo,12.975234383691749,0.4970481414537762,NA,NA
1995-08-02,1995,214,TRUE,9.566683317194961,all,19.856645389983143,3.127424154225544,139.6159453466146,NA
1995-08-02,1995,214,TRUE,9.566683317194961,epi,24.36688386354925,5.237447297815255,33.76959563050978,NA
1995-08-02,1995,214,TRUE,9.566683317194961,hypo,13.599187461643883,0.19999999999999998,286.4660695914036,NA
1995-08-14,1995,226,TRUE,9.175373354673107,all,20.526240067987644,3.2688427056280562,NA,NA
1995-08-14,1995,226,TRUE,9.175373354673107,epi,25.44204676121119,5.480797240321962,23.806151782292066,NA
1995-08-14,1995,226,TRUE,9.175373354673107,hypo,13.706101011709858,0.19999999999999998,NA,NA
1995-08-30,1995,242,TRUE,10.387141665167139,all,20.131620164707975,4.172660940584453,136.34421981724535,NA
1995-08-30,1995,242,TRUE,10.387141665167139,epi,24.09985927880387,6.364256816182937,25.170976253298154,NA
1995-08-30,1995,242,TRUE,10.387141665167139,hypo,13.283015896330369,0.39028481943122634,328.2130887311343,NA
1995-09-11,1995,254,TRUE,12.113503560139675,all,18.160247117235787,4.756287885043455,NA,NA
1995-09-11,1995,254,TRUE,12.113503560139675,epi,20.372952701668453,6.456344711464871,30.91619470381142,NA
1995-09-11,1995,254,TRUE,12.113503560139675,hypo,12.250399429074168,0.21565808953180304,NA,NA
1995-09-25,1995,268,TRUE,14.551552917607866,all,15.171769529494055,5.959214263649279,NA,NA
1995-09-25,1995,268,TRUE,14.551552917607866,epi,15.98519791094008,7.284070918086861,58.72196261682243,NA
